t,y
3.708333333,-149.488623
3.75,-148.5745603
3.791666667,-143.652281
3.833333333,-136.1915907
3.875,-126.842562
3.916666667,-103.4747558
3.958333333,-89.72089368
4,-74.86593054
4.041666667,-59.60293727
4.083333333,-29.77890432
4.125,-17.02604103
4.166666667,-5.917894649
4.208333333,2.925756186
4.25,13.24655147
4.291666667,14.84820646
4.333333333,14.07570542
4.375,10.23491675
4.416666667,-5.948504952
4.458333333,-17.70059569
4.5,-30.69965862
4.541666667,-44.62625292
4.583333333,-73.79660243
4.625,-88.4984491
4.666666667,-102.6052897
4.708333333,-115.5762578
4.75,-136.328999
4.791666667,-143.3055872
4.833333333,-147.7604313
4.875,-149.5671002
4.916666667,-145.563692
4.958333333,-140.0517926
5,-132.0091841
5.041666667,-121.8056986
5.083333333,-95.9068752
5.125,-81.45869456
5.166666667,-66.3779928
5.208333333,-51.63437252
5.25,-23.80831631
5.291666667,-11.91962567
5.333333333,-1.884747692
5.375,5.755295238
5.416666667,12.95191027
5.458333333,12.00252445
5.5,8.219003069
5.541666667,1.800607867
5.583333333,-17.66987003
5.625,-29.86177145
5.666666667,-43.61650263
5.708333333,-58.14853721
5.75,-88.01896768
5.791666667,-102.457978
5.833333333,-115.2207073
5.875,-125.9260802
5.916666667,-142.6383242
5.958333333,-147.9269916
6,-150.5996504
6.041666667,-150.7442413
6.083333333,-142.3170574
6.125,-134.1235449
6.166666667,-124.1131479
6.208333333,-112.2138922
6.25,-84.98792149
6.291666667,-70.52530057
6.333333333,-55.81838017
6.375,-41.59691276
6.416666667,-15.7214922
6.458333333,-5.556390516
6.5,2.361311176
6.541666667,7.542107474
6.583333333,10.23497507
6.625,7.821501581
6.666666667,2.898553933
6.708333333,-4.917558946
6.75,-27.53396961
6.791666667,-41.07342537
6.833333333,-55.54955343
6.875,-70.02834037
6.916666667,-97.54009929
6.958333333,-109.6543051
7,-120.474212
7.041666667,-129.7267227
7.083333333,-141.7906812
7.125,-144.11784
7.166666667,-143.6441667
7.208333333,-140.8527938
7.25,-128.7579449
7.291666667,-119.7128873
7.333333333,-108.9193229
7.375,-96.60072578
7.416666667,-68.42251412
7.458333333,-53.58342448
7.5,-38.72011027
7.541666667,-25.28417662
7.583333333,-2.937758306
7.625,5.278171138
7.666666667,11.28794422
7.708333333,14.90981856
7.75,13.9826162
7.791666667,9.219404666
7.833333333,2.072114051
7.875,-7.67467355
7.916666667,-31.49903634
7.958333333,-44.9107869
8,-58.84564236
8.041666667,-73.50070998
8.083333333,-101.0811809
8.125,-113.1960947
8.166666667,-123.4474365
8.208333333,-131.7003828
8.25,-140.4554397
8.291666667,-141.0583114
8.333333333,-139.3353777
8.375,-135.5240471
8.416666667,-120.8435687
8.458333333,-110.6270419
8.5,-98.50023117
8.541666667,-84.9421312
8.583333333,-56.53195599
8.625,-42.60213874
8.666666667,-29.0290213
8.708333333,-16.55372434
8.75,4.199644935
8.791666667,11.10932583
8.833333333,15.12815443
8.875,16.19865148
8.916666667,10.39565607
8.958333333,3.803287418
9,-4.825341524
9.041666667,-15.46829422
9.083333333,-41.45540709
9.125,-55.67312644
9.166666667,-69.88160291
9.208333333,-83.77950676
9.25,-108.3549342
9.291666667,-118.5648477
9.333333333,-127.1171404
9.375,-133.5023091
9.416666667,-139.4523159
9.458333333,-138.5581739
9.5,-135.1136384
9.541666667,-128.7970807
9.583333333,-109.9917346
9.625,-98.64393735
9.666666667,-85.9736518
9.708333333,-72.5224902
9.75,-43.69144461
9.791666667,-29.71810082
9.833333333,-16.63212462
9.875,-5.30694683
9.916666667,10.43145781
9.958333333,15.17295012
10,17.35643471
10.04166667,17.33487443
10.08333333,9.491647327
10.125,1.512881945
10.16666667,-8.80671628
10.20833333,-20.94296976
10.25,-48.50037785
10.29166667,-62.70110741
10.33333333,-76.66197376
10.375,-89.73666308
10.41666667,-113.1972831
10.45833333,-122.4849279
10.5,-129.5741889
10.54166667,-134.119714
10.58333333,-135.4843041
10.625,-132.3448879
10.66666667,-127.3070078
10.70833333,-120.0362086
10.75,-100.0634009
10.79166667,-87.59675877
10.83333333,-73.94825933
10.875,-59.76783411
10.91666667,-31.78805258
10.95833333,-18.9327678
11,-7.662912625
11.04166667,2.11343477
11.08333333,15.01211638
11.125,18.10012141
11.16666667,18.17201498
11.20833333,15.37020391
11.25,2.431037069
11.29166667,-7.010394339
11.33333333,-18.24102711
11.375,-30.6611778
11.41666667,-57.93626263
11.45833333,-71.98241095
11.5,-85.798765
11.54166667,-98.94525901
11.58333333,-119.8989039
